product_id,avg_daily_demand,reorder_point,std_demand,safety_stock,abc_class,risk_status
P0001,16602.033333333333,139457.08,109.31567463744005,180.3708631517761,A,HIGH RISK
P0002,16260.9,136591.56,106.41749182858635,175.58886151716746,C,HIGH RISK
P0003,16442.633333333335,138118.12000000002,108.38043711079787,178.8277212328165,B,HIGH RISK
P0004,16516.7,138740.28,109.26322251264463,180.28431714586364,A,HIGH RISK
P0005,16788.266666666666,141021.44,106.85499764571136,176.31074611542374,A,HIGH RISK
P0006,16571.033333333333,139196.68,108.80724973075812,179.53196205575088,B,HIGH RISK
P0007,16644.033333333333,139809.88,110.50535131027652,182.33382966195626,A,HIGH RISK
P0008,16285.433333333332,136797.63999999998,108.67512132444567,179.31395018533536,C,HIGH RISK
P0009,16736.2,140584.08000000002,110.56080563663478,182.42532930044737,A,HIGH RISK
P0010,16548.966666666667,139011.31999999998,109.72135536807404,181.04023635732216,A,HIGH RISK
P0011,16645.4,139821.36000000002,108.24598882940246,178.60588156851406,A,HIGH RISK
P0012,16389.0,137667.6,107.74810514845251,177.78437349494664,C,HIGH RISK
P0013,16687.3,140173.31999999998,108.14916810201095,178.44612736831806,A,HIGH RISK
P0014,16920.733333333334,142134.16,110.20383667207814,181.8363305089289,A,HIGH RISK
P0015,16909.433333333334,142039.24,109.9149558509863,181.35967715412738,A,HIGH RISK
P0016,16949.066666666666,142372.15999999997,109.38982269901389,180.49320745337292,A,HIGH RISK
P0017,16683.666666666668,140142.8,107.8907330411934,178.0197095179691,B,HIGH RISK
P0018,16418.366666666665,137914.27999999997,108.53595678364891,179.0843286930207,A,HIGH RISK
P0019,16596.633333333335,139411.72,109.49312420305,180.6636549350325,B,HIGH RISK
P0020,16923.6,142158.23999999996,110.2297818054266,181.87913997895387,A,HIGH RISK
